term	module
ForLoopActionUsage_loopVariable	SysML/Systems/Actions
ForLoopActionUsage_seqArgument	SysML/Systems/Actions
ForkNode	SysML/Systems/Actions
FramedConcernMembership	SysML/Systems/Requirements
FramedConcernMembership_ownedConcern	SysML/Systems/Requirements
FramedConcernMembership_referencedConcern	SysML/Systems/Requirements
Function	KerML/Kernel/Functions
Function_expression	KerML/Kernel/Functions
Function_isModelLevelEvaluable	KerML/Kernel/Functions
Function_result	KerML/Kernel/Functions
IfActionUsage	SysML/Systems/Actions
IfActionUsage_elseAction	SysML/Systems/Actions
IfActionUsage_ifArgument	SysML/Systems/Actions
IfActionUsage_thenAction	SysML/Systems/Actions
Import	KerML/Root/Namespaces
Import_importOwningNamespace	KerML/Root/Namespaces
Import_importedElement	KerML/Root/Namespaces
Import_isImportAll	KerML/Root/Namespaces
Import_isRecursive	KerML/Root/Namespaces
Import_visibility	KerML/Root/Namespaces
IncludeUseCaseUsage	SysML/Systems/UseCases
IncludeUseCaseUsage_useCaseIncluded	SysML/Systems/UseCases
Interaction	KerML/Kernel/Interactions
InterfaceDefinition	SysML/Systems/Interfaces
InterfaceDefinition_interfaceEnd	SysML/Systems/Interfaces
InterfaceUsage	SysML/Systems/Interfaces
InterfaceUsage_interfaceDefinition	SysML/Systems/Interfaces
Intersecting	KerML/Core/Types
Intersecting_intersectingType	KerML/Core/Types
Intersecting_typeIntersected	KerML/Core/Types
Invariant	KerML/Kernel/Functions
Invariant_isNegated	KerML/Kernel/Functions
InvocationExpression	KerML/Kernel/Expressions
InvocationExpression_argument	KerML/Kernel/Expressions
InvocationExpression_operand	KerML/Kernel/Expressions
ItemDefinition	SysML/Systems/Items
ItemFeature	KerML/Kernel/Interactions
ItemFlow	KerML/Kernel/Interactions
ItemFlowEnd	KerML/Kernel/Interactions
ItemFlow_interaction	KerML/Kernel/Interactions
ItemFlow_itemFeature	KerML/Kernel/Interactions
ItemFlow_itemFlowEnd	KerML/Kernel/Interactions
ItemFlow_itemType	KerML/Kernel/Interactions
ItemFlow_sourceOutputFeature	KerML/Kernel/Interactions
ItemFlow_targetInputFeature	KerML/Kernel/Interactions
ItemUsage	SysML/Systems/Items
ItemUsage_itemDefinition	SysML/Systems/Items
JoinNode	SysML/Systems/Actions
LibraryPackage	KerML/Kernel/Packages
LibraryPackage_isStandard	KerML/Kernel/Packages
LifeClass	SysML/Systems/Occurrences
LiteralBoolean	KerML/Kernel/Expressions
LiteralBoolean_value	KerML/Kernel/Expressions
LiteralExpression	KerML/Kernel/Expressions
LiteralInfinity	KerML/Kernel/Expressions
LiteralInteger	KerML/Kernel/Expressions
LiteralInteger_value	KerML/Kernel/Expressions
LiteralRational	KerML/Kernel/Expressions
LiteralRational_value	KerML/Kernel/Expressions
LiteralString	KerML/Kernel/Expressions
LiteralString_value	KerML/Kernel/Expressions
LoopActionUsage	SysML/Systems/Actions
LoopActionUsage_bodyAction	SysML/Systems/Actions
Membership	KerML/Root/Namespaces
MembershipExpose	SysML/Systems/Views
MembershipImport	KerML/Root/Namespaces
MembershipImport_importedMembership	KerML/Root/Namespaces
Membership_memberElement	KerML/Root/Namespaces
Membership_memberElementId	KerML/Root/Namespaces
Membership_memberName	KerML/Root/Namespaces
Membership_memberShortName	KerML/Root/Namespaces
Membership_membershipOwningNamespace	KerML/Root/Namespaces
Membership_visibility	KerML/Root/Namespaces
MergeNode	SysML/Systems/Actions
Metaclass	KerML/Kernel/Metadata
MetadataAccessExpression	KerML/Kernel/Expressions
MetadataAccessExpression_referencedElement	KerML/Kernel/Expressions
MetadataDefinition	SysML/Systems/Metadata
MetadataFeature	KerML/Kernel/Metadata
MetadataFeature_metaclass	KerML/Kernel/Metadata
MetadataUsage	SysML/Systems/Metadata
MetadataUsage_metadataDefinition	SysML/Systems/Metadata
Multiplicity	KerML/Core/Types
MultiplicityRange	KerML/Kernel/Multiplicities
MultiplicityRange_bound	KerML/Kernel/Multiplicities
MultiplicityRange_lowerBound	KerML/Kernel/Multiplicities
MultiplicityRange_upperBound	KerML/Kernel/Multiplicities
Namespace	KerML/Root/Namespaces
NamespaceExpose	SysML/Systems/Views
NamespaceImport	KerML/Root/Namespaces
NamespaceImport_importedNamespace	KerML/Root/Namespaces
Namespace_importedMembership	KerML/Root/Namespaces
Namespace_member	KerML/Root/Namespaces
Namespace_membership	KerML/Root/Namespaces
Namespace_ownedImport	KerML/Root/Namespaces
Namespace_ownedMember	KerML/Root/Namespaces
Namespace_ownedMembership	KerML/Root/Namespaces
NullExpression	KerML/Kernel/Expressions
ObjectiveMembership	SysML/Systems/Cases
ObjectiveMembership_ownedObjectiveRequirement	SysML/Systems/Cases
OccurrenceDefinition	SysML/Systems/Occurrences
OccurrenceDefinition_isIndividual	SysML/Systems/Occurrences
OccurrenceDefinition_lifeClass	SysML/Systems/Occurrences
OccurrenceUsage	SysML/Systems/Occurrences
OccurrenceUsage_individualDefinition	SysML/Systems/Occurrences
OccurrenceUsage_isIndividual	SysML/Systems/Occurrences
OccurrenceUsage_occurrenceDefinition	SysML/Systems/Occurrences
OccurrenceUsage_portionKind	SysML/Systems/Occurrences
OperatorExpression	KerML/Kernel/Expressions
OperatorExpression_operator	KerML/Kernel/Expressions
OwningMembership	KerML/Root/Namespaces
OwningMembership_ownedMemberElement	KerML/Root/Namespaces
OwningMembership_ownedMemberElementId	KerML/Root/Namespaces
OwningMembership_ownedMemberName	KerML/Root/Namespaces
OwningMembership_ownedMemberShortName	KerML/Root/Namespaces
Package	KerML/Kernel/Packages
Package_filterCondition	KerML/Kernel/Packages
ParameterMembership	KerML/Kernel/Behaviors
ParameterMembership_ownedMemberParameter	KerML/Kernel/Behaviors
PartDefinition	SysML/Systems/Parts
PartUsage	SysML/Systems/Parts
PartUsage_partDefinition	SysML/Systems/Parts
PerformActionUsage	SysML/Systems/Actions
PerformActionUsage_performedAction	SysML/Systems/Actions
PortConjugation	SysML/Systems/Ports
PortConjugation_conjugatedPortDefinition	SysML/Systems/Ports
PortConjugation_originalPortDefinition	SysML/Systems/Ports
PortDefinition	SysML/Systems/Ports
PortDefinition_conjugatedPortDefinition	SysML/Systems/Ports
PortUsage	SysML/Systems/Ports
PortUsage_portDefinition	SysML/Systems/Ports
PortionKind	SysML/Systems/Occurrences
Predicate	KerML/Kernel/Functions
Redefinition	KerML/Core/Features
Redefinition_redefinedFeature	KerML/Core/Features
Redefinition_redefiningFeature	KerML/Core/Features
ReferenceSubsetting	KerML/Core/Features
ReferenceSubsetting_referencedFeature	KerML/Core/Features
ReferenceSubsetting_referencingFeature	KerML/Core/Features
ReferenceUsage	SysML/Systems/DefinitionAndUsage
Relationship	KerML/Root/Elements
Relationship_isImplied	KerML/Root/Elements
Relationship_ownedRelatedElement	KerML/Root/Elements
Relationship_owningRelatedElement	KerML/Root/Elements
Relationship_relatedElement	KerML/Root/Elements
Relationship_source	KerML/Root/Elements
Relationship_target	KerML/Root/Elements
RenderingDefinition	SysML/Systems/Views
RenderingDefinition_rendering	SysML/Systems/Views
RenderingUsage	SysML/Systems/Views
RenderingUsage_renderingDefinition	SysML/Systems/Views
RequirementConstraintKind	SysML/Systems/Requirements
RequirementConstraintMembership	SysML/Systems/Requirements
RequirementConstraintMembership_kind	SysML/Systems/Requirements
RequirementConstraintMembership_ownedConstraint	SysML/Systems/Requirements
RequirementConstraintMembership_referencedConstraint	SysML/Systems/Requirements
RequirementDefinition	SysML/Systems/Requirements
RequirementDefinition_actorParameter	SysML/Systems/Requirements
RequirementDefinition_assumedConstraint	SysML/Systems/Requirements
RequirementDefinition_framedConcern	SysML/Systems/Requirements
RequirementDefinition_reqId	SysML/Systems/Requirements
RequirementDefinition_requiredConstraint	SysML/Systems/Requirements
RequirementDefinition_stakeholderParameter	SysML/Systems/Requirements
RequirementDefinition_subjectParameter	SysML/Systems/Requirements
RequirementDefinition_text	SysML/Systems/Requirements
RequirementUsage	SysML/Systems/Requirements
RequirementUsage_actorParameter	SysML/Systems/Requirements
RequirementUsage_assumedConstraint	SysML/Systems/Requirements
RequirementUsage_framedConcern	SysML/Systems/Requirements
RequirementUsage_reqId	SysML/Systems/Requirements
RequirementUsage_requiredConstraint	SysML/Systems/Requirements
RequirementUsage_requirementDefinition	SysML/Systems/Requirements
RequirementUsage_stakeholderParameter	SysML/Systems/Requirements
RequirementUsage_subjectParameter	SysML/Systems/Requirements
RequirementUsage_text	SysML/Systems/Requirements
RequirementVerificationMembership	SysML/Systems/VerificationCases
RequirementVerificationMembership_ownedRequirement	SysML/Systems/VerificationCases
RequirementVerificationMembership_verifiedRequirement	SysML/Systems/VerificationCases
ResultExpressionMembership	KerML/Kernel/Functions
ResultExpressionMembership_ownedResultExpression	KerML/Kernel/Functions
ReturnParameterMembership	KerML/Kernel/Functions
SatisfyRequirementUsage	SysML/Systems/Requirements
SatisfyRequirementUsage_satisfiedRequirement	SysML/Systems/Requirements
SatisfyRequirementUsage_satisfyingFeature	SysML/Systems/Requirements
SelectExpression	KerML/Kernel/Expressions
SendActionUsage	SysML/Systems/Actions
SendActionUsage_payloadArgument	SysML/Systems/Actions
SendActionUsage_receiverArgument	SysML/Systems/Actions
SendActionUsage_senderArgument	SysML/Systems/Actions
Specialization	KerML/Core/Types
Specialization_general	KerML/Core/Types
Specialization_owningType	KerML/Core/Types
Specialization_specific	KerML/Core/Types
StakeholderMembership	SysML/Systems/Requirements
StakeholderMembership_ownedStakeholderParameter	SysML/Systems/Requirements
StateDefinition	SysML/Systems/States
StateDefinition_doAction	SysML/Systems/States
StateDefinition_entryAction	SysML/Systems/States
StateDefinition_exitAction	SysML/Systems/States
StateDefinition_isParallel	SysML/Systems/States
StateDefinition_state	SysML/Systems/States
StateSubactionKind	SysML/Systems/States
StateSubactionMembership	SysML/Systems/States
StateSubactionMembership_action	SysML/Systems/States
StateSubactionMembership_kind	SysML/Systems/States
StateUsage	SysML/Systems/States
StateUsage_doAction	SysML/Systems/States
StateUsage_entryAction	SysML/Systems/States
StateUsage_exitAction	SysML/Systems/States
StateUsage_isParallel	SysML/Systems/States
StateUsage_stateDefinition	SysML/Systems/States
Step	KerML/Kernel/Behaviors
Step_behavior	KerML/Kernel/Behaviors
Step_parameter	KerML/Kernel/Behaviors
Structure	KerML/Kernel/Structures
Subclassification	KerML/Core/Classifiers
Subclassification_owningClassifier	KerML/Core/Classifiers
Subclassification_subclassifier	KerML/Core/Classifiers
Subclassification_superclassifier	KerML/Core/Classifiers
SubjectMembership	SysML/Systems/Requirements
SubjectMembership_ownedSubjectParameter	SysML/Systems/Requirements
Subsetting	KerML/Core/Features
Subsetting_owningFeature	KerML/Core/Features
Subsetting_subsettedFeature	KerML/Core/Features
Subsetting_subsettingFeature	KerML/Core/Features
Succession	KerML/Kernel/Connectors
SuccessionAsUsage	SysML/Systems/Connections
SuccessionFlowConnectionUsage	SysML/Systems/Connections
SuccessionItemFlow	KerML/Kernel/Interactions
Succession_effectStep	KerML/Kernel/Connectors
Succession_guardExpression	KerML/Kernel/Connectors
Succession_transitionStep	KerML/Kernel/Connectors
Succession_triggerStep	KerML/Kernel/Connectors
TextualRepresentation	KerML/Root/Annotations
TextualRepresentation_body	KerML/Root/Annotations
TextualRepresentation_language	KerML/Root/Annotations
TextualRepresentation_representedElement	KerML/Root/Annotations
TransitionFeatureKind	SysML/Systems/States
TransitionFeatureMembership	SysML/Systems/States
TransitionFeatureMembership_kind	SysML/Systems/States
TransitionFeatureMembership_transitionFeature	SysML/Systems/States
TransitionUsage	SysML/Systems/States
TransitionUsage_effectAction	SysML/Systems/States
TransitionUsage_guardExpression	SysML/Systems/States
TransitionUsage_source	SysML/Systems/States
TransitionUsage_succession	SysML/Systems/States
TransitionUsage_target	SysML/Systems/States
TransitionUsage_triggerAction	SysML/Systems/States
TriggerInvocationExpression	SysML/Systems/Actions
TriggerInvocationExpression_kind	SysML/Systems/Actions
TriggerKind	SysML/Systems/Actions
Type	KerML/Core/Types
TypeFeaturing	KerML/Core/Features
TypeFeaturing_featureOfType	KerML/Core/Features
TypeFeaturing_featuringType	KerML/Core/Features
TypeFeaturing_owningFeatureOfType	KerML/Core/Features
Type_differencingType	KerML/Core/Types
Type_directedFeature	KerML/Core/Types
Type_endFeature	KerML/Core/Types
Type_feature	KerML/Core/Types
Type_featureMembership	KerML/Core/Types
Type_inheritedFeature	KerML/Core/Types
Type_inheritedMembership	KerML/Core/Types
Type_input	KerML/Core/Types
Type_intersectingType	KerML/Core/Types
Type_isAbstract	KerML/Core/Types
Type_isConjugated	KerML/Core/Types
Type_isSufficient	KerML/Core/Types
Type_multiplicity	KerML/Core/Types
Type_output	KerML/Core/Types
Type_ownedConjugator	KerML/Core/Types
